,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
881,8.24,1.18,26.43,10.78,175.2,13053120.0,64.0
880,8.22,1.2,26.42,10.43,176.81,21714180.0,32.0
879,8.39,1.22,26.9,10.529,151.16,31029770.0,56.0
878,8.18,1.22,26.6,10.25,139.772,22187220.0,0.0
877,8.23,1.22,27.05,10.18,137.95,22446140.0,27.0
876,8.79,1.39,27.01,10.022,144.698,13964490.0,26.0
875,8.7,1.42,27.05,9.9766,137.8,14904150.0,0.0
874,8.5,1.55,27.15,10.14,138.7,12619540.0,0.0
873,8.38,1.55,26.99,10.55,137.6,12162530.0,32.0
872,8.14,1.81,27.2,10.738,135.45,9870719.0,56.0
871,8.15,1.62,27.22,10.5133,121.58,23052140.0,27.0
870,7.93,1.62,27.03,10.41,126.09,19783890.0,40.0
869,8.25,1.53,26.96,10.52,121.11,13830110.0,0.0
868,7.98,1.58,26.91,10.752,122.1,11890950.0,53.0
867,8.06,1.54,27.08,10.94,121.38,11095140.0,32.0
866,7.53,1.67,26.73,11.07,120.84,10257990.0,33.0
865,7.88,1.71,26.78,11.11,120.5,13869230.0,29.0
864,7.68,1.7,26.83,11.56,126.94,12342800.0,28.0
863,7.64,1.7,26.66,11.48,127.28,9716219.0,27.0
862,7.47,1.78,26.66,11.41,124.17,7642470.0,27.0
861,7.56,1.79,26.56,11.4,144.7,25620170.0,27.0
860,8.1,1.85,26.64,11.24,138.95,13121620.0,0.0
859,8.2,1.76,26.45,11.1,140.48,9277795.0,0.0
858,7.95,1.71,26.94,11.57,137.36,7881590.0,29.0
857,7.78,1.71,27.19,11.575,141.6,9014394.0,28.0
856,7.6,1.63,27.14,11.33,142.19,10725610.0,29.0
855,7.01,1.69,26.58,11.38,139.65,7128291.0,27.0
854,7.39,1.65,26.54,11.3,147.47,10741360.0,27.0
853,7.3,1.55,26.84,11.214,147.654,10590620.0,0.0
852,7.42,1.44,26.98,11.195,147.94,6660961.0,0.0
851,7.43,1.34,27.03,11.34,152.46,10472460.0,28.0
850,7.07,1.43,27.41,11.55,147.98,11565140.0,28.0
849,6.94,1.37,27.32,11.53,140.72,12730030.0,27.0
848,6.77,1.32,27.36,11.662,143.24,7352177.0,0.0
847,6.72,1.25,27.4,11.8,143.55,5330909.0,0.0
846,6.71,1.26,27.61,11.44,151.41,9941485.0,0.0
845,6.5,1.25,27.83,11.49,155.5,7111247.0,32.0
844,6.47,1.24,27.83,11.58,151.12,5459669.0,28.0
843,6.68,1.27,27.89,11.65,152.44,4461968.0,0.0
842,6.96,1.25,28.03,11.66,150.429,4262398.0,0.0
841,7.05,1.25,27.5,11.52,150.1,6188202.0,0.0
840,7.39,1.26,27.48,11.56,149.56,4691589.0,27.0
839,7.25,1.23,27.26,11.91,147.0,5361072.0,32.0
838,7.8,1.25,27.29,12.25,149.36,5034083.0,0.0
837,8.39,1.26,27.21,12.22,151.28,6154868.0,28.0
836,8.99,1.36,27.22,12.53,147.53,5380624.0,27.0
835,8.83,1.43,26.96,12.79,145.7199,7445861.0,0.0
834,8.73,1.36,26.73,12.62,139.34,6314832.0,27.0
